Alias	Name
MI0003594	hsa-mir-586
MI0003595	hsa-mir-587
MI0003596	hsa-mir-548b
MI0003597	hsa-mir-588
MI0003598	hsa-mir-548a-2
MI0003599	hsa-mir-589
MI0003600	hsa-mir-550a-1
MI0003601	hsa-mir-550a-2
MI0003602	hsa-mir-590
MI0003603	hsa-mir-591
MI0003604	hsa-mir-592
MI0003605	hsa-mir-593
MI0003607	hsa-mir-595
MI0003608	hsa-mir-596
MI0003609	hsa-mir-597
MI0003610	hsa-mir-598
MI0003611	hsa-mir-599
MI0003612	hsa-mir-548a-3
MI0003613	hsa-mir-600
MI0003614	hsa-mir-601
MI0003615	hsa-mir-602
MI0003616	hsa-mir-603
MI0003617	hsa-mir-604
MI0003618	hsa-mir-605
MI0003619	hsa-mir-606
MI0003620	hsa-mir-607
MI0003621	hsa-mir-608
MI0003622	hsa-mir-609
MI0003623	hsa-mir-610
MI0003624	hsa-mir-611
MI0003625	hsa-mir-612
MI0003626	hsa-mir-613
MI0003627	hsa-mir-614
MI0003628	hsa-mir-615
MI0003629	hsa-mir-616
MI0003630	hsa-mir-548c
MI0003631	hsa-mir-617
MI0003632	hsa-mir-618
MI0003633	hsa-mir-619
MI0003634	hsa-mir-620
MI0003635	hsa-mir-621
MI0003636	hsa-mir-622
MI0003637	hsa-mir-623
MI0003638	hsa-mir-624
MI0003639	hsa-mir-625
MI0003640	hsa-mir-626
MI0003641	hsa-mir-627
MI0003642	hsa-mir-628
MI0003643	hsa-mir-629
MI0003644	hsa-mir-630
MI0003645	hsa-mir-631
MI0003646	hsa-mir-33b
MI0003647	hsa-mir-632
MI0003648	hsa-mir-633
MI0003649	hsa-mir-634
MI0003650	hsa-mir-635
MI0003651	hsa-mir-636
MI0003652	hsa-mir-637
MI0003653	hsa-mir-638
MI0003654	hsa-mir-639
MI0003655	hsa-mir-640
MI0003656	hsa-mir-641
MI0003657	hsa-mir-642a
MI0003658	hsa-mir-643
MI0003659	hsa-mir-644a
MI0003660	hsa-mir-645
MI0003661	hsa-mir-646
MI0003662	hsa-mir-647
MI0003663	hsa-mir-648
MI0003664	hsa-mir-649
MI0003665	hsa-mir-650
MI0003666	hsa-mir-651
MI0003667	hsa-mir-652
MI0003668	hsa-mir-548d-1
MI0003669	hsa-mir-661
MI0003670	hsa-mir-662
MI0003671	hsa-mir-548d-2
MI0003672	hsa-mir-663a
MI0003673	hsa-mir-449b
MI0003674	hsa-mir-653
MI0003675	hsa-mir-411
MI0003676	hsa-mir-654
MI0003677	hsa-mir-655
MI0003678	hsa-mir-656
MI0003679	hsa-mir-549a
MI0003681	hsa-mir-657
MI0003682	hsa-mir-658
MI0003683	hsa-mir-659
MI0003684	hsa-mir-660
MI0003685	hsa-mir-421
MI0003686	hsa-mir-542
MI0003757	hsa-mir-758
MI0003758	hsa-mir-1264
MI0003760	hsa-mir-671
MI0003761	hsa-mir-668
MI0003762	hsa-mir-550a-3
MI0003763	hsa-mir-767
MI0003764	hsa-mir-1224
MI0003772	hsa-mir-151b
MI0003776	hsa-mir-320b-1
MI0003778	hsa-mir-320c-1
MI0003780	hsa-mir-1296
MI0003782	hsa-mir-1468
MI0003786	hsa-mir-1323
MI0003814	hsa-mir-1271
MI0003815	hsa-mir-1301
MI0003820	hsa-mir-454
MI0003821	hsa-mir-1185-2
MI0003823	hsa-mir-449c
MI0003832	hsa-mir-1283-1
MI0003834	hsa-mir-769
MI0003836	hsa-mir-766
MI0003839	hsa-mir-320b-2
MI0003840	hsa-mir-378d-2
MI0003844	hsa-mir-1185-1
MI0003892	hsa-mir-762
MI0003906	hsa-mir-802
MI0003933	hsa-mir-670
MI0003938	hsa-mir-1298
MI0003939	hsa-mir-2113
MI0003941	hsa-mir-761
MI0003944	hsa-mir-764
MI0004065	hsa-mir-759
MI0005116	hsa-mir-765
MI0005118	hsa-mir-770
MI0005416	hsa-mir-675
MI0005523	hsa-mir-298
MI0005524	hsa-mir-891a
MI0005525	hsa-mir-300
MI0005528	hsa-mir-892a
MI0005530	hsa-mir-509-2
MI0005531	hsa-mir-450b
MI0005532	hsa-mir-874
MI0005533	hsa-mir-890
MI0005534	hsa-mir-891b
MI0005537	hsa-mir-888
MI0005538	hsa-mir-892b
MI0005539	hsa-mir-541
MI0005540	hsa-mir-889
MI0005541	hsa-mir-875
MI0005542	hsa-mir-876
MI0005543	hsa-mir-708
MI0005544	hsa-mir-147b
MI0005545	hsa-mir-190b
MI0005559	hsa-mir-744
MI0005560	hsa-mir-885
MI0005561	hsa-mir-877
MI0005562	hsa-mir-887
MI0005563	hsa-mir-665
MI0005564	hsa-mir-873
MI0005565	hsa-mir-543
MI0005566	hsa-mir-374b
MI0005567	hsa-mir-760
MI0005568	hsa-mir-301b
MI0005569	hsa-mir-216b
MI0005570	hsa-mir-208b
MI0005712	hsa-mir-920
MI0005713	hsa-mir-921
MI0005714	hsa-mir-922
MI0005716	hsa-mir-924
MI0005717	hsa-mir-509-3
MI0005755	hsa-mir-933
MI0005756	hsa-mir-934
MI0005757	hsa-mir-935
MI0005758	hsa-mir-936
MI0005759	hsa-mir-937
MI0005760	hsa-mir-938
MI0005761	hsa-mir-939
MI0005762	hsa-mir-940
MI0005763	hsa-mir-941-1
MI0005764	hsa-mir-941-2
MI0005765	hsa-mir-941-3
MI0005766	hsa-mir-941-4
MI0005767	hsa-mir-942
MI0005768	hsa-mir-943
MI0005769	hsa-mir-944
MI0005775	hsa-mir-297
MI0006271	hsa-mir-1178
MI0006272	hsa-mir-1179
MI0006273	hsa-mir-1180
MI0006274	hsa-mir-1181
MI0006275	hsa-mir-1182
MI0006276	hsa-mir-1183
MI0006277	hsa-mir-1184-1
MI0006311	hsa-mir-1225
MI0006313	hsa-mir-1226
MI0006316	hsa-mir-1227
MI0006318	hsa-mir-1228
MI0006319	hsa-mir-1229
MI0006321	hsa-mir-1231
MI0006323	hsa-mir-1233-1
MI0006324	hsa-mir-1234
MI0006326	hsa-mir-1236
MI0006327	hsa-mir-1237
MI0006328	hsa-mir-1238
MI0006332	hsa-mir-1200
MI0006334	hsa-mir-1202
MI0006335	hsa-mir-1203
MI0006336	hsa-mir-663b
MI0006337	hsa-mir-1204
MI0006338	hsa-mir-1205
MI0006339	hsa-mir-1206
MI0006340	hsa-mir-1207
MI0006341	hsa-mir-1208
MI0006344	hsa-mir-548e
MI0006345	hsa-mir-548j
MI0006346	hsa-mir-1285-1
MI0006347	hsa-mir-1285-2
MI0006348	hsa-mir-1286
MI0006349	hsa-mir-1287
MI0006350	hsa-mir-1289-1
MI0006351	hsa-mir-1289-2
MI0006352	hsa-mir-1290
MI0006353	hsa-mir-1291
MI0006354	hsa-mir-548k
MI0006355	hsa-mir-1293
MI0006356	hsa-mir-1294
MI0006357	hsa-mir-1295a
MI0006358	hsa-mir-1297
MI0006359	hsa-mir-1299
MI0006361	hsa-mir-548l
MI0006362	hsa-mir-1302-1
MI0006363	hsa-mir-1302-2
MI0006364	hsa-mir-1302-3
MI0006365	hsa-mir-1302-4
MI0006366	hsa-mir-1302-5
MI0006367	hsa-mir-1302-6
MI0006368	hsa-mir-1302-7
MI0006369	hsa-mir-1302-8
MI0006370	hsa-mir-1303
MI0006371	hsa-mir-1304
MI0006372	hsa-mir-1305
MI0006373	hsa-mir-1243
MI0006374	hsa-mir-548f-1
MI0006375	hsa-mir-548f-2
MI0006376	hsa-mir-548f-3
MI0006377	hsa-mir-548f-4
MI0006378	hsa-mir-548f-5
MI0006379	hsa-mir-1244-1
MI0006380	hsa-mir-1245a
MI0006381	hsa-mir-1246
MI0006382	hsa-mir-1247
MI0006383	hsa-mir-1248
MI0006384	hsa-mir-1249
MI0006385	hsa-mir-1250
MI0006386	hsa-mir-1251
MI0006387	hsa-mir-1253
MI0006388	hsa-mir-1254-1
MI0006389	hsa-mir-1255a
MI0006390	hsa-mir-1256
MI0006391	hsa-mir-1257
MI0006392	hsa-mir-1258
MI0006394	hsa-mir-1260a
MI0006395	hsa-mir-548g
MI0006396	hsa-mir-1261
